codigo_ibge,anomes_s,pab_qtd_fam_benef_i,pab_valor_pago_d,pab_valor_medio_d,pab_extraordinario_qtd_fam_i,pab_extraordinario_valor_pago_d,pab_extraordinario_valor_medio_d
110001,202302,1766,1062180.0,601.46,,,
110002,202302,5744,3454070.0,601.34,,,
110003,202302,301,179593.0,596.65,,,
110004,202302,5753,3475545.0,604.13,,,
110005,202302,997,599000.0,600.8,,,
110006,202302,428,258239.0,603.36,,,
110007,202302,441,265220.0,601.41,,,
110008,202302,2017,1203711.0,596.78,,,
110009,202302,1967,1189631.0,604.79,,,
110010,202302,4589,2792416.0,608.5,,,
110011,202302,2931,1761963.0,601.15,,,
110012,202302,5430,3275428.0,603.21,,,
110013,202302,2510,1501179.0,598.08,,,
110014,202302,1889,1134498.0,600.58,,,
110015,202302,2198,1324400.0,602.55,,,
110018,202302,1376,830096.0,603.27,,,
110020,202302,50430,3.0137629E7,597.61,,,
110025,202302,2495,1500739.0,601.5,,,
110026,202302,213,128428.0,602.95,,,
110028,202302,1863,1119647.0,600.99,,,
110029,202302,600,360751.0,601.25,,,
110030,202302,3660,2201225.0,601.43,,,
110032,202302,1160,696666.0,600.57,,,
110033,202302,2390,1447217.0,605.53,,,
110034,202302,1307,785495.0,600.99,,,
110037,202302,765,460259.0,601.65,,,
110040,202302,1315,790483.0,601.13,,,
110045,202302,2224,1340370.0,602.68,,,
110050,202302,608,364965.0,600.27,,,
110060,202302,344,208433.0,605.91,,,
110070,202302,630,379528.0,602.43,,,
110080,202302,3497,2094241.0,598.87,,,
110090,202302,245,147441.0,601.8,,,
110092,202302,656,397369.0,605.75,,,
110094,202302,1308,785644.0,600.65,,,
110100,202302,971,583270.0,600.69,,,
110110,202302,761,441083.0,579.61,,,
110120,202302,551,332277.0,603.04,,,
110130,202302,651,391181.0,600.89,,,
110140,202302,1317,792063.0,601.41,,,
110143,202302,618,374366.0,605.77,,,
110145,202302,373,224425.0,601.68,,,
110146,202302,237,141975.0,599.05,,,
110147,202302,305,183600.0,601.97,,,
110148,202302,176,105828.0,601.3,,,
110149,202302,1401,834795.0,595.86,,,
110150,202302,815,489090.0,600.11,,,
110155,202302,395,238080.0,602.73,,,
110160,202302,584,350330.0,599.88,,,
110170,202302,1076,648204.0,602.42,,,
110175,202302,994,597719.0,601.33,,,
110180,202302,640,385844.0,602.88,,,
120001,202302,2438,1466817.0,601.65,,,
120005,202302,1766,1120129.0,634.27,,,
120010,202302,5027,2951839.0,587.2,,,
120013,202302,1782,1070465.0,600.71,,,
120017,202302,2110,1282813.0,607.97,,,
120020,202302,14190,8583048.0,604.87,,,
120025,202302,2753,1656059.0,601.55,,,
120030,202302,5626,3546979.0,630.46,,,
120032,202302,1757,1210118.0,688.74,,,
120033,202302,4328,2530634.0,584.71,,,
120034,202302,2576,1603539.0,622.49,,,
120035,202302,4142,2491110.0,601.43,,,
120038,202302,2378,1422776.0,598.31,,,
120039,202302,1940,1262963.0,651.01,,,
120040,202302,45658,2.7776143E7,608.35,,,
120042,202302,3337,1879756.0,563.31,,,
120043,202302,1351,938752.0,694.86,,,
120045,202302,4653,2864371.0,615.6,,,
120050,202302,9511,5718930.0,601.3,,,
120060,202302,9650,6312740.0,654.17,,,
120070,202302,2682,1628099.0,607.05,,,
120080,202302,4576,2759208.0,602.97,,,
130002,202302,3092,1864945.0,603.15,,,
130006,202302,1919,1140685.0,594.42,,,
130008,202302,2363,1067824.0,451.89,,,
130010,202302,3909,2038469.0,521.48,,,
130014,202302,2427,1453971.0,599.08,,,
130020,202302,2554,1699392.0,665.38,,,
130030,202302,16849,9855277.0,584.92,,,
130040,202302,3202,1931091.0,603.09,,,
130050,202302,6508,4096877.0,629.51,,,
130060,202302,6548,3687209.0,563.1,,,
130063,202302,6036,3418133.0,566.29,,,
130068,202302,3199,1850976.0,578.61,,,
130070,202302,5949,3484721.0,585.77,,,
130080,202302,6939,3944873.0,568.51,,,
130083,202302,2514,1368105.0,544.19,,,
130090,202302,3640,1980888.0,544.2,,,
130100,202302,6814,4316718.0,633.51,,,
130110,202302,6092,3436050.0,564.03,,,
130115,202302,4456,2151878.0,482.92,,,
130120,202302,14475,8618389.0,595.4,,,
130130,202302,4414,2434961.0,551.64,,,
130140,202302,6532,4067803.0,622.75,,,
130150,202302,3963,2590841.0,653.76,,,
130160,202302,5856,3116368.0,532.17,,,
130165,202302,3369,1959488.0,581.62,,,
130170,202302,11185,6681070.0,597.32,,,
130180,202302,4648,2671891.0,574.85,,,
130185,202302,15930,9377807.0,588.69,,,
130190,202302,16034,9213738.0,574.64,,,
130195,202302,2175,1390159.0,639.15,,,
130200,202302,2491,1455807.0,584.43,,,
130210,202302,1436,896231.0,624.12,,,
130220,202302,2177,1229344.0,564.7,,,
130230,202302,4714,2723518.0,577.75,,,
130240,202302,13420,8042587.0,599.3,,,
130250,202302,21882,1.240432E7,566.87,,,
130255,202302,4240,2314542.0,545.88,,,
130260,202302,256660,1.54206283E8,600.82,,,
130270,202302,7582,4412568.0,581.98,,,
130280,202302,3717,2215041.0,595.92,,,
130290,202302,15163,9475324.0,624.9,,,
130300,202302,4670,2842109.0,608.59,,,
130310,202302,7618,4635566.0,608.5,,,
130320,202302,2666,1550320.0,581.52,,,
130330,202302,3713,2216413.0,596.93,,,
130340,202302,21594,1.3057941E7,604.7,,,
130350,202302,3576,2249864.0,629.16,,,
130353,202302,5577,3380319.0,606.12,,,
130356,202302,4202,2510161.0,597.37,,,
130360,202302,2640,1654364.0,626.65,,,
130370,202302,4192,2252212.0,537.26,,,
130380,202302,7625,4869481.0,638.62,,,
130390,202302,7025,3996228.0,568.86,,,
130395,202302,2089,1243812.0,595.41,,,
130400,202302,2501,1475131.0,589.82,,,
130406,202302,9471,5577578.0,588.91,,,
130410,202302,3507,1632059.0,465.37,,,
130420,202302,12295,7434852.0,604.71,,,
130423,202302,3998,2412360.0,603.39,,,
130426,202302,2982,1808073.0,606.33,,,
130430,202302,4388,2533689.0,577.41,,,
130440,202302,5385,3036382.0,563.86,,,
140002,202302,2086,1321325.0,633.43,,,
140005,202302,2514,1519444.0,604.39,,,
140010,202302,26386,1.5957461E7,604.77,,,
140015,202302,4408,2739899.0,621.57,,,
140017,202302,4911,3026406.0,616.25,,,
140020,202302,4514,2569563.0,569.24,,,
140023,202302,2057,1258847.0,611.98,,,
140028,202302,1637,946061.0,577.92,,,
140030,202302,5624,3345832.0,594.92,,,
140040,202302,2921,2011623.0,688.68,,,
140045,202302,2571,1623095.0,631.31,,,
140047,202302,4319,2571836.0,595.47,,,
140050,202302,1296,773298.0,596.68,,,
140060,202302,1810,1085723.0,599.85,,,
140070,202302,2167,1592570.0,734.92,,,
150010,202302,46936,2.681406E7,571.29,,,
150013,202302,1787,1092971.0,611.62,,,
150020,202302,13745,7968814.0,579.76,,,
150030,202302,8333,4618216.0,554.21,,,
150034,202302,3546,2148553.0,605.91,,,
150040,202302,14252,8350529.0,585.92,,,
150050,202302,7692,4559814.0,592.8,,,
150060,202302,15998,9710750.0,607.0,,,
150070,202302,8940,5407342.0,604.85,,,
150080,202302,44102,2.6354948E7,597.59,,,
150085,202302,8952,5481917.0,612.37,,,
150090,202302,12311,7572794.0,615.12,,,
150095,202302,6431,3911215.0,608.18,,,
150100,202302,2546,1544873.0,606.78,,,
150110,202302,4658,2278159.0,489.09,,,
150120,202302,7879,2878492.0,365.34,,,
150125,202302,529,321000.0,606.81,,,
150130,202302,17493,1.0057386E7,574.94,,,
150140,202302,205541,1.22517E8,596.07,,,
150145,202302,2592,1561288.0,602.35,,,
150150,202302,14137,8549823.0,604.78,,,
150157,202302,2498,1501793.0,601.2,,,
150160,202302,3740,2248658.0,601.25,,,
150170,202302,22514,1.3631853E7,605.48,,,
150172,202302,4363,2637461.0,604.51,,,
150175,202302,1543,893534.0,579.09,,,
150178,202302,8868,4687314.0,528.56,,,
150180,202302,24811,1.4537799E7,585.94,,,
150190,202302,7521,4664833.0,620.24,,,
150195,202302,5220,3064057.0,586.98,,,
150200,202302,5646,1853572.0,328.3,,,
150210,202302,31965,1.4382611E7,449.95,,,
150215,202302,7346,4423361.0,602.15,,,
150220,202302,11195,6748306.0,602.8,,,
150230,202302,11388,6843242.0,600.92,,,
150240,202302,22638,1.3612538E7,601.31,,,
150250,202302,4299,2055601.0,478.16,,,
150260,202302,2636,1523192.0,577.84,,,
150270,202302,3788,2268201.0,598.79,,,
150275,202302,7410,4577468.0,617.74,,,
150276,202302,1708,1043529.0,610.97,,,
150277,202302,4038,2435231.0,603.08,,,
150280,202302,7324,3046898.0,416.02,,,
150285,202302,2965,1351518.0,455.82,,,
150290,202302,10743,6513636.0,606.31,,,
150293,202302,6854,4085915.0,596.14,,,
150295,202302,3623,2178075.0,601.18,,,
150300,202302,3266,1980414.0,606.37,,,
150304,202302,3325,1914540.0,575.8,,,
150307,202302,5080,3063998.0,603.15,,,
150309,202302,4499,2646162.0,588.17,,,
150310,202302,7234,4088544.0,565.18,,,
150320,202302,7732,4660362.0,602.74,,,
150330,202302,12462,6439480.0,516.73,,,
150340,202302,1977,1202568.0,608.28,,,
150345,202302,8598,5258061.0,611.54,,,
150350,202302,8947,5410754.0,604.76,,,
150360,202302,17762,1.0729722E7,604.08,,,
150370,202302,8630,5037193.0,583.68,,,
150375,202302,3840,2476614.0,644.95,,,
150380,202302,8645,5017109.0,580.35,,,
150390,202302,6249,3699569.0,592.03,,,
150400,202302,6290,2247556.0,357.32,,,
150405,202302,7127,4311555.0,604.96,,,
150410,202302,1482,898841.0,606.51,,,
150420,202302,27848,1.6782712E7,602.65,,,
150430,202302,7372,4217367.0,572.08,,,
150440,202302,5644,3411810.0,604.5,,,
150442,202302,24297,1.46076E7,601.21,,,
150445,202302,7467,4560477.0,610.75,,,
150450,202302,6367,3694230.0,580.22,,,
150460,202302,7959,3058194.0,384.24,,,
150470,202302,19704,1.1366309E7,576.85,,,
150475,202302,4120,2498382.0,606.4,,,
150480,202302,11678,6299368.0,539.42,,,
150490,202302,7487,2453026.0,327.64,,,
150495,202302,5680,3535959.0,622.53,,,
150497,202302,1704,986711.0,579.06,,,
150500,202302,2659,1603420.0,603.02,,,
150503,202302,2708,1634687.0,603.65,,,
150506,202302,10337,6042343.0,584.54,,,
150510,202302,10350,5710995.0,551.79,,,
150520,202302,8879,3981211.0,448.39,,,
150530,202302,10410,6272144.0,602.51,,,
150540,202302,4649,2820224.0,606.63,,,
150543,202302,5595,3406163.0,608.79,,,
150548,202302,9398,5753201.0,612.17,,,
150549,202302,1619,893231.0,551.72,,,
150550,202302,12071,7279371.0,603.05,,,
150553,202302,22075,1.319954E7,597.94,,,
150555,202302,1301,789788.0,607.06,,,
150560,202302,1481,897656.0,606.11,,,
150563,202302,1773,1055251.0,595.18,,,
150565,202302,3767,2323166.0,616.72,,,
150570,202302,7281,2857667.0,392.48,,,
150580,202302,9769,5668434.0,580.25,,,
150590,202302,7701,4325385.0,561.67,,,
150600,202302,10079,5479604.0,543.67,,,
150610,202302,2828,1726934.0,610.66,,,
150611,202302,2949,1806083.0,612.44,,,
150613,202302,8668,5242897.0,604.86,,,
150616,202302,2055,1232934.0,599.97,,,
150618,202302,4857,2943894.0,606.11,,,
150619,202302,5103,3103821.0,608.23,,,
150620,202302,5382,3221015.0,598.48,,,
150630,202302,6746,2953020.0,437.74,,,
150635,202302,4000,2422957.0,605.74,,,
150640,202302,2010,869198.0,432.44,,,
150650,202302,8136,4885178.0,600.44,,,
150655,202302,5218,3187649.0,610.89,,,
150658,202302,2435,1457536.0,598.58,,,
150660,202302,4061,2447027.0,602.57,,,
150670,202302,7443,4459196.0,599.11,,,
150680,202302,47896,2.8263181E7,590.09,,,
150690,202302,2106,1258399.0,597.53,,,
150700,202302,5602,3380432.0,603.43,,,
150710,202302,3163,1889904.0,597.5,,,
150715,202302,4297,2600954.0,605.3,,,
150720,202302,8232,5067664.0,615.61,,,
150730,202302,10702,6531215.0,610.28,,,
150740,202302,3106,1866750.0,601.01,,,
150745,202302,4243,2521864.0,594.36,,,
150746,202302,1521,937792.0,616.56,,,
150747,202302,4457,2696528.0,605.01,,,
150750,202302,2677,1610954.0,601.78,,,
150760,202302,9310,5627536.0,604.46,,,
150770,202302,7071,2468050.0,349.04,,,
150775,202302,856,518185.0,605.36,,,
150780,202302,4635,2585440.0,557.81,,,
150790,202302,4264,1868857.0,438.29,,,
150795,202302,13039,7823419.0,600.0,,,
150796,202302,3514,2129337.0,605.96,,,
150797,202302,3793,2198728.0,579.68,,,
150800,202302,11757,7152624.0,608.37,,,
150803,202302,8543,5198648.0,608.53,,,
150805,202302,2895,1736106.0,599.69,,,
150808,202302,2973,1783688.0,599.96,,,
150810,202302,12727,6697039.0,526.21,,,
150812,202302,5707,3468037.0,607.68,,,
150815,202302,8058,4864877.0,603.73,,,
150820,202302,11715,7000266.0,597.55,,,
150830,202302,12693,7572578.0,596.59,,,
150835,202302,2838,1623261.0,571.97,,,
150840,202302,5771,3489438.0,604.65,,,
160005,202302,1166,718028.0,615.8,,,
160010,202302,2223,1245990.0,560.5,,,
160015,202302,3863,2375396.0,614.91,,,
160020,202302,2076,1246720.0,600.54,,,
160021,202302,1018,649089.0,637.61,,,
160023,202302,1072,643065.0,599.87,,,
160025,202302,2063,1217728.0,590.27,,,
160027,202302,9948,5964677.0,599.59,,,
160030,202302,59243,3.5432858E7,598.09,,,
160040,202302,5623,3298536.0,586.61,,,
160050,202302,3927,2346708.0,597.58,,,
160053,202302,3799,2336500.0,615.03,,,
160055,202302,1624,932762.0,574.36,,,
160060,202302,24151,1.4392212E7,595.93,,,
160070,202302,2533,1462818.0,577.5,,,
160080,202302,3079,1787582.0,580.57,,,
170025,202302,233,141374.0,606.76,,,
170030,202302,533,320194.0,600.74,,,
170035,202302,803,489542.0,609.64,,,
170040,202302,1099,670341.0,609.96,,,
170070,202302,1009,610011.0,604.57,,,
170100,202302,1570,949552.0,604.81,,,
170105,202302,266,160510.0,603.42,,,
170110,202302,582,359147.0,617.09,,,
170130,202302,851,514903.0,605.06,,,
170190,202302,979,579933.0,592.37,,,
170200,202302,816,490506.0,601.11,,,
170210,202302,11170,6722018.0,601.79,,,
170215,202302,887,504642.0,568.93,,,
170220,202302,3143,1776280.0,565.15,,,
170230,202302,554,332781.0,600.69,,,
170240,202302,2075,1273902.0,613.93,,,
170255,202302,1945,1165294.0,599.12,,,
170270,202302,407,244592.0,600.96,,,
170290,202302,2394,1463301.0,611.24,,,
170300,202302,1571,933359.0,594.12,,,
170305,202302,377,227486.0,603.41,,,
170307,202302,727,432457.0,594.85,,,
170310,202302,759,457025.0,602.14,,,
170320,202302,591,358925.0,607.32,,,
170330,202302,846,528749.0,625.0,,,
170360,202302,342,207938.0,608.01,,,
170370,202302,649,390882.0,602.28,,,
170380,202302,1016,608660.0,599.07,,,
170382,202302,359,221274.0,616.36,,,
170384,202302,1111,677756.0,610.04,,,
170386,202302,314,189951.0,604.94,,,
170388,202302,384,233560.0,608.23,,,
170389,202302,491,281100.0,572.51,,,
170390,202302,1267,764949.0,603.75,,,
170410,202302,356,219357.0,616.17,,,
170460,202302,259,156764.0,605.27,,,
170510,202302,507,312432.0,616.24,,,
170550,202302,3286,1972978.0,600.42,,,
170555,202302,711,428846.0,603.16,,,
170560,202302,540,333639.0,617.85,,,
170600,202302,760,451749.0,594.41,,,
170610,202302,989,600520.0,607.2,,,
